2019-07-10 23:19:01 | Error | Oops! An error has occured. : Action: copy(id, servicefamily_id) - Unknown attribute servicefamily_id from class Incident
2019-07-10 23:19:53 | Error | Oops! An error has occured. : Action: copy(id, servicefamily_id) - Unknown attribute servicefamily_id from class Incident
2019-07-10 23:29:01 | Error | Oops! An error has occured. : Action: copy(id, servicefamily_id) - Unknown attribute servicefamily_id from class Incident
2019-07-10 23:30:39 | Error | Oops! An error has occured. : Action: copy(id, servicefamily_id) - Unknown attribute servicefamily_id from class Incident
2019-07-15 11:03:21 | Error | ldap_set_option('17', '3') returned true
2019-07-15 11:03:21 | Error | ldap_set_option('8', '0') returned true
2019-07-15 11:12:00 | Error | ldap_set_option('17', '3') returned true
2019-07-15 11:12:00 | Error | ldap_set_option('8', '0') returned true
2019-07-15 11:27:25 | Error | ldap_set_option('17', '3') returned true
2019-07-15 11:27:25 | Error | ldap_set_option('8', '0') returned true
2019-07-15 11:27:25 | Error | ldap_authentication: can not bind to the LDAP server 'ldap://190.145.215.202 ldap://3.16.200.46' (port: 389), user='CN=Conexion Aplicaciones,DC=alltic,DC=local', pwd='@lltic2019'. Error: 'Invalid credentials'. Check the configuration file config-itop.php.
2019-07-15 11:27:30 | Error | ldap_set_option('17', '3') returned true
2019-07-15 11:27:30 | Error | ldap_set_option('8', '0') returned true
2019-07-15 11:27:30 | Error | ldap_authentication: can not bind to the LDAP server 'ldap://190.145.215.202 ldap://3.16.200.46' (port: 389), user='CN=Conexion Aplicaciones,DC=alltic,DC=local', pwd='@lltic2019'. Error: 'Invalid credentials'. Check the configuration file config-itop.php.
2019-07-15 11:33:16 | Error | ldap_set_option('17', '3') returned true
2019-07-15 11:33:16 | Error | ldap_set_option('8', '0') returned true
2019-07-15 11:33:16 | Error | ldap_authentication: can not bind to the LDAP server 'ldap://190.145.215.202 ldap://3.16.200.46' (port: 389), user='CN=Conexion Aplicaciones,CN=alltic.local,DC=alltic,DC=local', pwd='@lltic2019'. Error: 'Invalid credentials'. Check the configuration file config-itop.php.
2019-07-15 11:33:22 | Error | ldap_set_option('17', '3') returned true
2019-07-15 11:33:22 | Error | ldap_set_option('8', '0') returned true
2019-07-15 11:33:22 | Error | ldap_authentication: can not bind to the LDAP server 'ldap://190.145.215.202 ldap://3.16.200.46' (port: 389), user='CN=Conexion Aplicaciones,CN=alltic.local,DC=alltic,DC=local', pwd='@lltic2019'. Error: 'Invalid credentials'. Check the configuration file config-itop.php.
2019-07-15 11:35:56 | Error | ldap_set_option('17', '3') returned true
2019-07-15 11:35:56 | Error | ldap_set_option('8', '0') returned true
2019-07-15 11:38:20 | Error | ldap_set_option('17', '3') returned true
2019-07-15 11:38:20 | Error | ldap_set_option('8', '0') returned true
2019-07-15 11:38:20 | Error | ldap_authentication: can not bind to the LDAP server 'ldap://190.145.215.202 ldap://3.16.200.46' (port: 389), user='CN=Conexion Aplicaciones,CN=Alltic,DC=alltic,DC=local', pwd='@lltic2019'. Error: 'Invalid credentials'. Check the configuration file config-itop.php.
2019-07-15 12:01:06 | Error | ldap_set_option('17', '3') returned true
2019-07-15 12:01:06 | Error | ldap_set_option('8', '0') returned true
2019-07-15 12:02:36 | Error | ldap_set_option('17', '3') returned true
2019-07-15 12:02:36 | Error | ldap_set_option('8', '0') returned true
2019-07-15 12:05:41 | Error | ldap_set_option('17', '3') returned true
2019-07-15 12:05:41 | Error | ldap_set_option('8', '0') returned true
2019-07-15 12:06:18 | Error | ldap_set_option('17', '3') returned true
2019-07-15 12:06:18 | Error | ldap_set_option('8', '0') returned true
2019-07-15 12:07:46 | Error | ldap_set_option('17', '3') returned true
2019-07-15 12:07:46 | Error | ldap_set_option('8', '0') returned true
2019-07-15 12:07:46 | Error | ldap_authentication: wrong password for user: 'CN=Kevin Johan Hernandez Agudelo,CN=Users,DC=alltic,DC=local'.
2019-07-15 12:08:17 | Error | ldap_set_option('17', '3') returned true
2019-07-15 12:08:17 | Error | ldap_set_option('8', '0') returned true
2019-07-15 12:20:01 | Error | ldap_set_option('17', '3') returned true
2019-07-15 12:20:01 | Error | ldap_set_option('8', '0') returned true
